"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
s,ms,,,,,,,,KB,B,,,,,
12.209456,10.810521,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1080
12.220267,10.808281,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1081
12.231077,10.817881,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1082
12.241895,10.817273,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1083
12.252714,10.813849,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1084
12.263528,10.807769,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1085
12.274337,11.531701,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1086
12.285870,10.807577,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1087
12.296678,10.806265,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1088
12.307485,10.818425,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1089
12.318305,10.821112,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1090
12.329126,10.805786,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1091
12.339933,11.530196,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1092
12.351464,10.820057,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1093
12.362285,10.809977,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1094
12.373096,10.817273,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1095
12.383914,10.816473,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1096
12.394731,10.815065,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1097
12.405547,10.816121,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1098
12.416364,10.815257,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1099
12.427181,11.527732,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1100
12.438709,10.821561,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1101
12.449532,10.814201,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1102
